Severity	Code	Description	Project	File	Line	Suppression State
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'OverdueSection'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	792	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'OverdueLabel'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	793	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'OverdueActionsComboBox'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	798	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'WithMeSection'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	805	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'WithMeLabel'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	806	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'WithMeActionsComboBox'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	811	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'ActionIdSearchBox'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	830	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'SearchActionButton'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	841	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'DashboardResultsSection'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	851	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'DashboardProjectText'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	884	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'DashboardPackageText'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	897	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'DashboardTitleText'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	910	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'DashboardBallHolderText'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	922	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'DashboardRelatedMessagesListView'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	937	Active
Error	CS0102	The type 'ProjectActionPane' already contains a definition for 'DashboardOpenAllButton'	FastPMHelperAddin	C:\Users\wally\source\repos\FastPMHelperAddin\FastPMHelperAddin\UI\ProjectActionPane.xaml	978	Active
